No;Y;X;W
1;5.5;5.1;5.6
2;5.7;5.5;6
3;6;6;6.4
4;5.3;5.2;5.2
5;5.2;5.5;5.7
6;4.7;5;5.1
7;4.2;5;5
8;5.2;5.7;5.5
9;5.3;4.9;5
10;5.1;5;5.2
11;5.6;5.5;5.8
12;4.8;4.6;4.9
13;5.4;5.6;5.9
14;4.3;5.2;4.7
15;4.4;5.1;4.9
16;4.8;5.5;4.6
17;3.6;4.7;4.3
18;4.6;5;4.8
19;4.5;5.1;4.5
20;4.2;4.9;4.6
21;4.4;4.7;4.6
22;3.6;4.7;4.3
23;3.9;4.5;4.6
24;4;4.8;4.6
25;5.5;5.7;4.9
26;5.6;5.7;5.5
27;5.1;4.7;4.7
28;5.49;4.9;4.1
29;4.4;4.8;4.9
30;7;6.2;6.5
31;6.6;6;6.3
32;5.4;5.7;5.1
33;5.3;5.7;5.7
34;5.7;5.9;5.8
35;4.8;5.8;5.7
36;6.4;5.8;5.7
37;4.2;4.9;4.9
38;5.8;5.7;5.9
39;4.6;4.8;4.3
40;4.7;5;5.2
41;5.8;5.7;5.9
42;5.6;5;5.4
43;4.8;5.1;5.5
44;6.2;5.2;5.8
45;6.8;5.5;6.2
46;6;5.8;5.8
47;4.6;4.9;4.7
48;4.1;4.7;4.5
49;4.4;4.9;4.6
50;4;5.3;5.2
51;5;5;5.6
52;5.9;5.6;5.9
53;5.7;5.5;5.9
54;5;4.1;5.3
55;5.3;5.5;5.5
56;5.7;5.5;5.4
57;4.7;4.8;4.7
58;4.6;4.8;4.6
59;4.2;4.5;4.6
60;6.5;6;7.1
61;4.9;4.8;4.6
62;4.4;5;5.3
